freq,num_nodes,starttimestamp,stoptimestamp
90,0,"2025-06-20 09:38:00","2025-06-20 09:38:11"
100,0,"2025-06-20 09:38:22","2025-06-20 09:38:33"
0,5,"2025-06-20 09:38:44","2025-06-20 09:38:57"
10,5,"2025-06-20 09:39:08","2025-06-20 09:39:20"
20,5,"2025-06-20 09:39:31","2025-06-20 09:39:43"
30,5,"2025-06-20 09:39:54","2025-06-20 09:40:06"
40,5,"2025-06-20 09:40:17","2025-06-20 09:40:29"
50,5,"2025-06-20 09:40:40","2025-06-20 09:40:52"
60,5,"2025-06-20 09:41:03","2025-06-20 09:41:15"
70,5,"2025-06-20 09:41:26","2025-06-20 09:41:38"
80,5,"2025-06-20 09:41:49","2025-06-20 09:42:01"
90,5,"2025-06-20 09:42:13","2025-06-20 09:42:25"
100,5,"2025-06-20 09:42:36","2025-06-20 09:42:48"
0,10,"2025-06-20 09:42:59","2025-06-20 09:43:11"
10,10,"2025-06-20 09:43:22","2025-06-20 09:43:34"
20,10,"2025-06-20 09:43:45","2025-06-20 09:43:57"
30,10,"2025-06-20 09:44:08","2025-06-20 09:44:20"
40,10,"2025-06-20 09:44:31","2025-06-20 09:44:43"
50,10,"2025-06-20 09:44:54","2025-06-20 09:45:06"
60,10,"2025-06-20 09:45:18","2025-06-20 09:45:30"
70,10,"2025-06-20 09:45:41","2025-06-20 09:45:53"
10,5,"2025-06-20 09:52:02","2025-06-20 09:52:14"
20,5,"2025-06-20 09:52:25","2025-06-20 09:52:37"
30,5,"2025-06-20 09:52:49","2025-06-20 09:53:01"
40,5,"2025-06-20 09:53:12","2025-06-20 09:53:24"
50,5,"2025-06-20 09:53:35","2025-06-20 09:53:47"
60,5,"2025-06-20 09:53:58","2025-06-20 09:54:10"
70,5,"2025-06-20 09:54:22","2025-06-20 09:54:34"
80,5,"2025-06-20 09:54:45","2025-06-20 09:54:57"
90,5,"2025-06-20 09:55:08","2025-06-20 09:55:20"
100,5,"2025-06-20 09:55:31","2025-06-20 09:55:43"
10,10,"2025-06-20 09:55:54","2025-06-20 09:56:06"
20,10,"2025-06-20 09:56:17","2025-06-20 09:56:29"
30,10,"2025-06-20 09:56:40","2025-06-20 09:56:52"
40,10,"2025-06-20 09:57:03","2025-06-20 09:57:15"
50,10,"2025-06-20 09:57:27","2025-06-20 09:57:39"
60,10,"2025-06-20 09:57:50","2025-06-20 09:58:02"
70,10,"2025-06-20 09:58:13","2025-06-20 09:58:25"
80,10,"2025-06-20 09:58:36","2025-06-20 09:58:48"
90,10,"2025-06-20 09:58:59","2025-06-20 09:59:11"
100,10,"2025-06-20 09:59:22","2025-06-20 09:59:34"
10,15,"2025-06-20 09:59:45","2025-06-20 09:59:58"
20,15,"2025-06-20 10:00:09","2025-06-20 10:00:21"
30,15,"2025-06-20 10:00:32","2025-06-20 10:00:44"
40,15,"2025-06-20 10:00:55","2025-06-20 10:01:07"
50,15,"2025-06-20 10:01:18","2025-06-20 10:01:30"
60,15,"2025-06-20 10:01:42","2025-06-20 10:01:54"
70,15,"2025-06-20 10:02:05","2025-06-20 10:02:17"
80,15,"2025-06-20 10:02:28","2025-06-20 10:02:40"
90,15,"2025-06-20 10:02:51","2025-06-20 10:03:03"
100,15,"2025-06-20 10:03:14","2025-06-20 10:03:27"
10,20,"2025-06-20 10:03:38","2025-06-20 10:03:50"
20,20,"2025-06-20 10:04:01","2025-06-20 10:04:13"
30,20,"2025-06-20 10:04:24","2025-06-20 10:04:36"
40,20,"2025-06-20 10:04:48","2025-06-20 10:05:00"
50,20,"2025-06-20 10:05:11","2025-06-20 10:05:23"
60,20,"2025-06-20 10:05:34","2025-06-20 10:05:46"
70,20,"2025-06-20 10:05:57","2025-06-20 10:06:10"
80,20,"2025-06-20 10:06:21","2025-06-20 10:06:33"
90,20,"2025-06-20 10:06:44","2025-06-20 10:06:57"
100,20,"2025-06-20 10:07:08","2025-06-20 10:07:20"
10,25,"2025-06-20 10:07:32","2025-06-20 10:07:44"
20,25,"2025-06-20 10:07:55","2025-06-20 10:08:07"
30,25,"2025-06-20 10:08:19","2025-06-20 10:08:31"
40,25,"2025-06-20 10:08:42","2025-06-20 10:08:54"
50,25,"2025-06-20 10:09:06","2025-06-20 10:09:18"
60,25,"2025-06-20 10:09:29","2025-06-20 10:09:41"
70,25,"2025-06-20 10:09:52","2025-06-20 10:10:05"
80,25,"2025-06-20 10:10:16","2025-06-20 10:10:29"
90,25,"2025-06-20 10:10:40","2025-06-20 10:10:53"
100,25,"2025-06-20 10:11:04","2025-06-20 10:11:17"
10,30,"2025-06-20 10:11:28","2025-06-20 10:11:41"
20,30,"2025-06-20 10:11:53","2025-06-20 10:12:06"
30,30,"2025-06-20 10:12:17","2025-06-20 10:12:30"
40,30,"2025-06-20 10:12:41","2025-06-20 10:12:55"
50,30,"2025-06-20 10:13:06","2025-06-20 10:13:19"
60,30,"2025-06-20 10:13:30","2025-06-20 10:13:43"
70,30,"2025-06-20 10:13:55","2025-06-20 10:14:08"
80,30,"2025-06-20 10:14:20","2025-06-20 10:14:33"
90,30,"2025-06-20 10:14:44","2025-06-20 10:14:57"
100,30,"2025-06-20 10:15:08","2025-06-20 10:15:22"
10,35,"2025-06-20 10:15:33","2025-06-20 10:15:47"
20,35,"2025-06-20 10:15:58","2025-06-20 10:16:10"
30,35,"2025-06-20 10:16:22","2025-06-20 10:16:36"
40,35,"2025-06-20 10:16:47","2025-06-20 10:17:01"
50,35,"2025-06-20 10:17:12","2025-06-20 10:17:26"
60,35,"2025-06-20 10:17:37","2025-06-20 10:17:52"
70,35,"2025-06-20 10:18:03","2025-06-20 10:18:15"
80,35,"2025-06-20 10:18:27","2025-06-20 10:18:40"
90,35,"2025-06-20 10:18:52","2025-06-20 10:19:06"
100,35,"2025-06-20 10:19:18","2025-06-20 10:19:31"
10,40,"2025-06-20 10:19:43","2025-06-20 10:19:57"
20,40,"2025-06-20 10:20:08","2025-06-20 10:20:23"
30,40,"2025-06-20 10:20:34","2025-06-20 10:20:48"
40,40,"2025-06-20 10:20:59","2025-06-20 10:21:14"
50,40,"2025-06-20 10:21:25","2025-06-20 10:21:39"
60,40,"2025-06-20 10:21:50","2025-06-20 10:22:05"
70,40,"2025-06-20 10:22:16","2025-06-20 10:22:30"
80,40,"2025-06-20 10:22:42","2025-06-20 10:22:56"
90,40,"2025-06-20 10:23:07","2025-06-20 10:23:24"
100,40,"2025-06-20 10:23:35","2025-06-20 10:23:49"
10,45,"2025-06-20 10:24:00","2025-06-20 10:24:16"
20,45,"2025-06-20 10:24:27","2025-06-20 10:24:42"
30,45,"2025-06-20 10:24:54","2025-06-20 10:25:08"
40,45,"2025-06-20 10:25:20","2025-06-20 10:25:36"
50,45,"2025-06-20 10:25:47","2025-06-20 10:26:03"
60,45,"2025-06-20 10:26:14","2025-06-20 10:26:29"
70,45,"2025-06-20 10:26:40","2025-06-20 10:26:55"
80,45,"2025-06-20 10:27:06","2025-06-20 10:27:22"
90,45,"2025-06-20 10:27:33","2025-06-20 10:27:49"
100,45,"2025-06-20 10:28:01","2025-06-20 10:28:16"
10,50,"2025-06-20 10:28:27","2025-06-20 10:28:43"
20,50,"2025-06-20 10:28:54","2025-06-20 10:29:09"
30,50,"2025-06-20 10:29:21","2025-06-20 10:29:36"
40,50,"2025-06-20 10:29:47","2025-06-20 10:30:03"
50,50,"2025-06-20 10:30:14","2025-06-20 10:30:29"
60,50,"2025-06-20 10:30:40","2025-06-20 10:30:55"
10,5,"2025-06-20 10:55:46","2025-06-20 10:55:58"
20,5,"2025-06-20 10:56:09","2025-06-20 10:56:22"
30,5,"2025-06-20 10:56:33","2025-06-20 10:56:45"
40,5,"2025-06-20 10:56:56","2025-06-20 10:57:08"
50,5,"2025-06-20 10:57:19","2025-06-20 10:57:31"
60,5,"2025-06-20 10:57:42","2025-06-20 10:57:54"
70,5,"2025-06-20 10:58:05","2025-06-20 10:58:17"
80,5,"2025-06-20 10:58:28","2025-06-20 10:58:40"
90,5,"2025-06-20 10:58:51","2025-06-20 10:59:03"
10,5,"2025-06-20 10:59:48","2025-06-20 10:59:59"
10.0,5,"2025-06-20 11:01:16","2025-06-20 11:01:32"
20.0,5,"2025-06-20 11:01:43","2025-06-20 11:01:59"
30.0,5,"2025-06-20 11:02:10","2025-06-20 11:02:26"
40.0,5,"2025-06-20 11:02:37","2025-06-20 11:02:53"
50.0,5,"2025-06-20 11:03:04","2025-06-20 11:03:20"
10,2,"2025-06-20 11:18:34","2025-06-20 11:23:36"
100,2,"2025-06-20 11:28:38","2025-06-20 11:33:41"
